id,kg,system,latency_ms,row_count,status
PW01,PW,samyama,61.976,10,pass
PW02,PW,samyama,59.405,10,pass
PW03,PW,samyama,57.662,9,pass
PW04,PW,samyama,54.667,1,pass
PW05,PW,samyama,11.101,10,pass
PW06,PW,samyama,72.323,10,pass
PW07,PW,samyama,60.051,10,pass
PW08,PW,samyama,58.342,10,pass
PW09,PW,samyama,76.352,10,pass
PW10,PW,samyama,75.700,10,pass
PW11,PW,samyama,55.768,10,pass
PW12,PW,samyama,225.482,10,pass
PW13,PW,samyama,58.550,10,pass
PW14,PW,samyama,57.651,20,pass
PW15,PW,samyama,55.568,10,pass
DI01,DI,samyama,54.918,10,pass
DI02,DI,samyama,54.476,10,pass
DI03,DI,samyama,54.065,10,pass
DI04,DI,samyama,53.875,10,pass
DI05,DI,samyama,80.375,0,empty
DI06,DI,samyama,45.052,10,pass
DI07,DI,samyama,16.402,10,pass
DI08,DI,samyama,57.959,10,pass
DI09,DI,samyama,57.100,10,pass
DI10,DI,samyama,54.987,10,pass
DI11,DI,samyama,10.682,1,pass
DI12,DI,samyama,587.956,1,pass
DI13,DI,samyama,60.836,10,pass
DI14,DI,samyama,83.597,10,pass
DI15,DI,samyama,82.248,10,pass
CT01,CT,samyama,65.044,10,pass
CT02,CT,samyama,66.120,10,pass
CT03,CT,samyama,67.012,10,pass
CT04,CT,samyama,67.449,10,pass
CT05,CT,samyama,68.226,10,pass
CT06,CT,samyama,69.948,10,pass
CT07,CT,samyama,68.060,10,pass
CT08,CT,samyama,4806.974,15,pass
CT09,CT,samyama,1994.315,15,pass
CT10,CT,samyama,9163.142,15,pass
CT11,CT,samyama,454.513,15,pass
CT12,CT,samyama,140.451,10,pass
CT13,CT,samyama,141.998,10,pass
CT14,CT,samyama,223.843,10,pass
CT15,CT,samyama,4567.010,1,pass
CT16,CT,samyama,199.926,10,pass
CT17,CT,samyama,128.002,10,pass
CT19,CT,samyama,69.530,10,pass
CT20,CT,samyama,4473.479,10,pass
CT21,CT,samyama,736.334,10,pass
HERO,XK,samyama,1397.201,0,empty
XK01,XK,samyama,482.721,0,empty
XK02,XK,samyama,2383.523,0,empty
XK03,XK,samyama,178.424,0,empty
XK04,XK,samyama,1171.630,10,pass
